Electronic_ratio,Metal_ratio,Rock_ratio,Jazz_ratio,World_ratio,Rap_ratio,usrId,user_id
0.0083638264506011,0.0198640878201777,0.7004704652378463,0.0245687401986408,0.0062728698379508,0.007318348144276,42.0,42
0.2104008071173071,0.0024763826469778,0.2421351921489498,0.0494359350637439,0.070255892873521,0.0251306979730349,50.0,50
0.0350404312668463,0.0233602875112309,0.2434860736747529,0.0260557053009883,0.0184186882300089,0.0242587601078167,10.0,10
0.4194761870963163,0.0294556036624316,0.0676414223862587,0.0063169848818226,0.0219320036908226,0.0413797998438498,22.0,22
0.5261584454409567,0.0,0.2077727952167414,0.0119581464872944,0.0014947683109118,0.0134529147982062,53.0,53
0.2451137455943607,0.0012816404998397,0.1537968599807753,0.0237103492470362,0.1614867029798141,0.1813521307273309,11.0,11
0.1306141695155016,0.0004715312978898,0.0793351408699752,0.0076623835907108,0.0011788282447247,0.0345396675704349,8.0,8
0.213884041109172,0.002326934264107,0.3814233081248788,0.1027729299980608,0.0230754314523948,0.0219119643203412,20.0,20
0.1320259149010681,0.0414988618455611,0.6998774295219752,0.0038522150236385,0.0001751006828926,0.0052530204867798,51.0,51
0.0496928327645051,0.0020477815699658,0.1909897610921501,0.0674402730375426,0.0955631399317406,0.2110580204778157,56.0,56
0.6412865113226124,0.0013127666557269,0.0718739744010502,0.1985559566787003,0.0026255333114538,0.0259271414506071,34.0,34
0.1700233199067203,0.0080559677761288,0.1640873436506254,0.0112359550561797,0.014627941488234,0.0850116599533601,39.0,39
0.0155080213903743,0.0128342245989304,0.0647058823529411,0.006951871657754,0.0005347593582887,0.009090909090909,48.0,48
0.0816505706760316,0.0021949078138718,0.7352941176470589,0.0017559262510974,0.0004389815627743,0.0338015803336259,33.0,33
0.0394340519974635,0.0003963221306277,0.155437539632213,0.0043595434369055,0.0041217501585288,0.0197764743183259,54.0,54
0.1353255587949465,0.0002429543245869,0.1537900874635568,0.0172497570456754,0.032555879494655,0.2210884353741496,36.0,36
0.1710660937180274,0.0203089830161653,0.1613975854307346,0.0012789032126048,0.0010231225700838,0.0526908123593206,15.0,15
0.0847868217054263,0.002906976744186,0.5726744186046512,0.002422480620155,0.003875968992248,0.0096899224806201,19.0,19
0.047867298578199,0.0028436018957345,0.1105845181674565,0.222432859399684,0.1486571879936808,0.0794628751974723,47.0,47
0.1775372916057326,0.0035097981866042,0.1042215072633323,0.0249585648825192,0.2041532611874817,0.1600857950667836,4.0,4
0.1509201445941505,0.0052579691094314,0.1117318435754189,0.0015609595793624,0.0719684521853434,0.0322872165626026,29.0,29
0.1484347520225114,0.0070348223707351,0.254660569820612,0.0464298276468519,0.0415054519873373,0.028842771720014,17.0,17
0.1683140355831686,0.016756095264991,0.1107973265555869,0.0154382001317895,0.0174150428315918,0.0795443848253789,63.0,63
0.3317384370015949,0.0005316321105794,0.0430622009569378,0.101010101010101,0.06113769271664,0.1780967570441254,49.0,49
0.0210979249080435,0.5239086681934901,0.3496425844958012,6.940106877645916e-05,0.0009022138940939,0.0234575612464431,21.0,21
0.1097046413502109,0.0379746835443038,0.0534458509142053,0.0119549929676511,0.0365682137834036,0.1610407876230661,31.0,31
0.0521088610860312,0.0011608409647878,0.2886624532439056,0.0043853992003095,0.1692248162001805,0.0857732490648781,26.0,26
0.1707104776411707,0.0007616146230007,0.0913937547600914,0.0153410945490153,0.0868240670220868,0.0278533347840278,64.0,64
0.0795910184442662,0.0105252606255012,0.5660585404971933,0.0151363271852445,0.0160384923817161,0.0897153167602245,45.0,45
0.0128897618463049,0.0,0.0028234716425239,0.0002455192732629,0.040019641541861,0.874539651362632,38.0,38
0.1533215458449103,0.0001262945188178,0.0419297802475372,0.0651679717100277,0.0397827734276332,0.2730487496842637,14.0,14
0.060145808019441,0.3651275820170109,0.3587484811664641,0.0021263669501822,0.0021263669501822,0.0118469015795868,28.0,28
0.0339185655584609,0.1884945834889802,0.1960403436682854,0.1347777362719462,0.0169592827792304,0.0117295480014942,9.0,9
0.0764416629414394,0.0268216361198033,0.4921770227983907,0.0169870362092087,0.0447027268663388,0.0151989271345552,59.0,59
0.3377821716922063,0.0065908716427747,0.2669303015323777,0.0454770143351458,0.0334486735870818,0.0090624485088152,32.0,32
0.0318755141211955,0.0009596928982725,0.0529887578831916,0.0531258568686591,0.1231834384425555,0.172881820674527,12.0,12
0.1364306784660767,0.0029498525073746,0.1124631268436578,0.2518436578171091,0.068952802359882,0.0313421828908554,1.0,1
0.0724097238612225,0.0004720320981826,0.0750059004012272,0.0072692943120132,0.0793013924946896,0.3469435921642672,3.0,3
0.0109463276836158,0.3525423728813559,0.4247175141242937,0.0104519774011299,0.0015536723163841,0.0070621468926553,44.0,44
0.4112991866344251,0.0239613101780611,0.1340954055836447,0.0811167289514178,0.0382501648714003,0.1483842602769839,43.0,43
0.0311587147030185,0.0004868549172346,0.1079195066536838,0.0034891269068484,0.1035378123985718,0.1140051931191171,16.0,16
0.2078225335668418,0.0021015761821366,0.3150029188558085,0.0096906012842965,0.0347927612375948,0.0656158785755983,18.0,18
0.2799882542945235,0.0086624577888709,0.1632653061224489,0.0882396123917192,0.0105711349287916,0.0118925267948906,60.0,60
0.0246017699115044,0.0070796460176991,0.7509734513274336,0.0,0.0269026548672566,0.0107964601769911,5.0,5
0.0322499370118417,0.0,0.0980095742000504,0.0216679264298311,0.3146888384983623,0.1189216427311665,62.0,62
0.3504447022428461,0.1253866976024748,0.1485885537509667,0.0021268368136117,0.0062838360402165,0.1213263727764887,25.0,25
0.0881042732222405,0.000164989275697,0.366441181323214,0.0009899356541824,0.0051146675466094,0.0138590991585546,2.0,2
0.1678899082568807,0.0064220183486238,0.1821100917431192,0.1949541284403669,0.0811926605504587,0.0197247706422018,23.0,23
0.025207830517565,0.0002681684097613,0.1150442477876106,0.0088495575221238,0.0010726736390453,0.1110217216411906,58.0,58
0.0926737633061991,0.0100187852222917,0.2965977875182634,0.1085368399081611,0.053016071801294,0.118764349822584,40.0,40
0.0402414486921529,0.1502347417840375,0.5720992622401073,0.0482897384305835,0.016767270288397,0.0033534540576794,27.0,27
0.1088752665245202,0.0011993603411513,0.1860341151385927,0.0090618336886993,0.0246535181236673,0.0794243070362473,35.0,35
0.2643816396071357,0.0038083784325516,0.2948486670675486,0.0709561034275405,0.0124273401483263,0.0623371417117658,6.0,6
0.0895669291338582,0.4938484251968504,0.1299212598425196,0.0054133858267716,0.0231299212598425,0.014271653543307,46.0,46
0.1793054821082319,0.002644103648863,0.1674246430460074,0.002644103648863,0.0174863387978142,0.1069628062753393,57.0,57
0.0989628349178911,0.0550993949870354,0.412705272255834,0.0,0.0894554883318928,0.1199222126188418,13.0,13
0.0555764175741644,0.000250344223307,0.0498185004381023,0.0040055075729127,0.0569533108023532,0.4268369007385154,24.0,24
0.1371533578349482,0.354660875375877,0.1293017039759438,0.0178750417641162,0.0850317407283661,0.0407617774807885,37.0,37
0.0527085313253892,0.0026317713283134,0.0359675414869508,0.0073835806711016,0.0459097887272461,0.6007749104466701,7.0,7
0.0382293762575452,0.0005030181086519,0.567907444668008,0.0115694164989939,0.0261569416498993,0.0251509054325955,55.0,55
0.0498442367601246,0.2461059190031152,0.17601246105919,0.0015576323987538,0.0046728971962616,0.3598130841121495,41.0,41
0.1158730158730158,0.0015873015873015,0.2952380952380952,0.0126984126984126,0.0174603174603174,0.146031746031746,61.0,61
0.0389546351084812,0.001232741617357,0.4829881656804733,0.0002465483234714,0.0002465483234714,0.028353057199211,52.0,52
0.0647289586305278,0.0,0.2261055634807418,0.0251426533523537,0.0670470756062767,0.070435092724679,30.0,30
